PlanID,Company,Name,URL,crowns_bridges,implants,plastic_fillings,root_canal,periodontal,tooth_cleaning,waiting_period,old_age,A01,A02,A03,A04,B01,B02,B03,B04,C01,C02,D01,D02
P829,uniVersa,uni-dent PRIVAT,https://zusatzversicherung.check24.de/filestore/tariff_terms/901c7d996f4fc6595119c4103234180c/Versicherungsbedingungen__uni-dent_PRIVAT.pdf?v=1533909540,80-90%,80-90%,80-90%,80-90%,80-90%,�� 75 per insurance year for all prophylactic measures,8 months,Contribution increases due to age every 5 to 10 years (age group rate),0.14,0.14,0.14,0.15,0.13,0.13,0.13,0.13,0.07,0,0,0.17
P911,N?rnberger,ZEP80 + ZV,https://zusatzversicherung.check24.de/filestore/tariff_terms/20dfba7ab3f856acd6a950ebf6efe401/Versicherungsbedingungen__ZEP80+ZV.pdf?v=1533909427,80%,80%,80%,80%,100%,100 �� per calendar year for all prophylactic measures,w/o waiting,Contribution increases due to age every 5 to 10 years (age group rate),0.13,0.13,0.13,0.14,0.12,0.16,0.16,0.16,0.1,0.16,0,0
P260,ARAG,Dent90,https://zusatzversicherung.check24.de/filestore/tariff_terms/f9002e1917752739fd4f66385a59c52f/Versicherungsbedingungen__Dent90.pdf?v=1533911803,80-90%,80-90%,80-90%,80-90%,80-90%,160 �� per calendar year (2 x 80 ��) for all prophylactic measures (from 18 years),w/o waiting,Contribution increases due to age every 5 to 10 years (age group rate),0.14,0.14,0.14,0.15,0.15,0.16,0.16,0.16,0.15,0.16,0.22,0.17
P466,Barmenia,ZGU +,https://zusatzversicherung.check24.de/filestore/tariff_terms/327431dd83fc5dff52ddf1a63305c79e/Versicherungsbedingungen__ZGU+.pdf?v=1537715867,85%,85%,85%,85%,85%,"85 �� per calendar year, 85% per treatment",w/o waiting,Contribution increases due to age every 5 to 10 years (age group rate),0.14,0.14,0.14,0.15,0.13,0,0.13,0,0.08,0.16,0,0
P353,ARAG,Z90 Bonus,https://zusatzversicherung.check24.de/filestore/tariff_terms/a1dd10b8827bf9d1a290cefcaf484b58/Versicherungsbedingungen__Z90_Bonus.pdf?v=1533912867,80-90%,80-90%,80-90%,80-90%,80-90%,120 �� per calendar year (2 x 60 ��);?at the beginning from 01.07.?1 x 60 �� in the 1st calendar year,3 months,Contribution increases due to age every 5 to 10 years (age group rate),0.14,0.14,0.14,0.15,0.13,0,0.14,0,0.12,0.1,0.2,0.17
P650,INTER,ZPro + Premium Z90,https://zusatzversicherung.check24.de/filestore/tariff_terms/bad049031b84d6f30236970a4e4003ba/Versicherungsbedingungen__ZPro_+_Premium_Z90.pdf?v=1533912881,75-90%,75-90%,90%,75-90%,75-90%,One treatment per calendar year,w/o waiting,Contribution increases due to age every 5 to 10 years (age group rate),0.14,0.14,0.15,0.14,0.15,0.16,0.16,0.16,0.12,0.16,0.12,0.17
P031,Hallesche,MEGA.Dent - dentZE.90?+dentZB.100?+dentPRO.80,https://zusatzversicherung.check24.de/filestore/tariff_terms/c53a5178b9c82245f522f20eb33742ec/Versicherungsbedingungen__MEGA.Dent_-_dentZE.90+dentZB.100+dentPRO.80.pdf?v=1533913479,80-90%,80-90%,80-90%,80-90%,80-90%,160 �� per calendar year (2 x 80 ��) for all prophylactic measures,w/o waiting,Contribution increases due to age every 5 to 10 years (age group rate),0.14,0.14,0.14,0.15,0.15,0.16,0.16,0.16,0.15,0.16,0.25,0.21
P799,DFV Deutsche Familienversicherung AG,ZahnSchutz Premium 80,https://zusatzversicherung.check24.de/filestore/tariff_terms/a9cecd6d9b88e5ad35dd61bbf5a85555/Versicherungsbedingungen__ZahnSchutz_Premium_80.pdf?v=1533913490,80-83%,80-83%,80-83%,80%,80-83%,160 �� per calendar year for all prophylactic measures,w/o waiting,Contribution increases due to age every 5 to 10 years (age group rate),0.14,0.14,0.13,0.14,0.12,0.13,0.13,0.13,0.15,0.16,0.17,0.17
P747,ERGO Direct,ZAB + ZBB + ZBE,https://zusatzversicherung.check24.de/filestore/tariff_terms/7b8b01229efe0b32a46dd66dd80f1efd/Versicherungsbedingungen__ZAB+ZBB+ZBE.pdf?v=1533914781,75%,75%,100%,not included,75%,Without limitation,w/o waiting,Contribution increases due to age every 5 to 10 years (age group rate),0.13,0.13,0.16,0,0.15,0.16,0.16,0.16,0.29,0.16,0,0
P984,DKV,KDT85 + KDBS,https://zusatzversicherung.check24.de/filestore/tariff_terms/c33a0b4256c0b6a63df079ab21cf257b/Versicherungsbedingungen__KDT85+KDBS.pdf?v=1533914794,85%,85%,85%,85%,not included,70 �� per calendar year,w/o waiting,Contribution increases due to age every 5 to 10 years (age group rate),0.14,0.14,0.14,0.15,0.13,0.12,0.12,0.12,0.07,0.16,0,0
P070,Janitos,Dental Plus,https://zusatzversicherung.check24.de/filestore/tariff_terms/02c5cd7bfacc7f323ab05414c11d9df8/Versicherungsbedingungen__Dental_Plus.pdf?v=1533915282,80-90%,80-90%,80-90%,80-90%,80-90%,"�� 90 per insurance year for all prophylactic measures, 90% per treatment",3 months,Contribution increases slightly due to age each year (risk contribution),0.14,0.14,0.14,0.15,0.13,0,0.16,0,0.09,0.1,0,0.17
P438,ARAG,Dent90 +,https://zusatzversicherung.check24.de/filestore/tariff_terms/9465b09012a66ad0acdd571ae1ea7adc/Versicherungsbedingungen__Dent90+.pdf?v=1533915296,90%,90%,90%,90%,90%,160 �� per calendar year (2 x 80 ��) for all prophylactic measures (from 18 years),w/o waiting,Contribution increases due to age every 5 to 10 years (age group rate),0.15,0.15,0.15,0.15,0.15,0.16,0.16,0.16,0.15,0.16,0.22,0.19
P235,ERGO Direkt,ZAB + ZAE + ZBB + ZBE,https://zusatzversicherung.check24.de/filestore/tariff_terms/6f50925d0223861fe939e9cac54decd6/Versicherungsbedingungen__ZAB+ZAE+ZBB+ZBE.pdf?v=1533916489,90%,90%,100%,not included,90%,Without limitation,w/o waiting,Contribution increases due to age every 5 to 10 years (age group rate),0.15,0.15,0.16,0,0.15,0.16,0.16,0.16,0.29,0.16,0,0
P205,DFV Deutsche Familienversicherung AG,ZahnSchutz Premium 90,https://zusatzversicherung.check24.de/filestore/tariff_terms/a1156c72496d71f67af7ac5e1e1971d9/Versicherungsbedingungen__ZahnSchutz_Premium_90.pdf?v=1533916512,90-92%,90-92%,90-92%,90%,90-92%,180 �� per calendar year for all prophylactic measures,w/o waiting,Contribution increases due to age every 5 to 10 years (age group rate),0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.17,0.16,0.22,0.19
P946,MaxCare,ZahnSchutz Premium 90,https://zusatzversicherung.check24.de/filestore/tariff_terms/e823ab831fc72a08ae993aba23e58d41/Versicherungsbedingungen__ZahnSchutz_Premium_90.pdf?v=1533917372,90-92%,90-92%,90-92%,90%,90-92%,180 �� per calendar year for all prophylactic measures,w/o waiting,Contribution increases due to age every 5 to 10 years (age group rate),0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.17,0.16,0.22,0.19
P393,die Bayerische,ZAHN Komfort,https://zusatzversicherung.check24.de/filestore/tariff_terms/6781edaaa5b5a14916139e4cb59e4105/Versicherungsbedingungen__ZAHN_Komfort.pdf?v=1533917390,80-90%,80-90%,80-90%,80-90%,80-90%,200 �� per calendar year,w/o waiting,Contribution increases due to age every 5 to 10 years (age group rate),0.14,0.14,0.14,0.15,0.15,0.16,0.16,0.16,0.19,0.16,0.25,0.17
P297,Allianz,ZahnPlus (ZP02) + ZahnFit (ZF02),https://zusatzversicherung.check24.de/filestore/tariff_terms/283791ebc065efaa0758c339798ca08a/Versicherungsbedingungen__ZahnPlus_(ZP02)_+_ZahnFit_(ZF02).pdf?v=1533956018,70%,70%,70%,70%,70%,60 �� per insurance year,w/o waiting,Contribution remains stable (aging provision rate) This tariff forms aging provisions.?There are no age-related increases.,0.12,0.12,0.11,0.12,0.15,0.16,0.16,0.16,0.06,0.16,0,0
P572,HanseMerkur,EZK,https://zusatzversicherung.check24.de/filestore/tariff_terms/df2ae9c86d2de380f77929577011928d/Versicherungsbedingungen__EZK.pdf?v=1533956100,90%,90%?(max 10 implants),90%,90%,90%,"�� 130 per calendar year, �� 65 per treatment",w/o waiting,Contribution increases due to age every 5 to 10 years (age group rate),0.15,0.15,0.15,0.15,0.15,0.16,0,0.16,0.12,0.16,0,0
P265,Stuttgarter,Smile! ZahnPremium Z4,https://zusatzversicherung.check24.de/filestore/tariff_terms/5f9f67e943443ced719722b3ca9068bd/Versicherungsbedingungen__Smile!_ZahnPremium_Z4.pdf?v=1533956883,90%,90%,90%,90%,90%,�� 110 per insurance year,8 months,Contribution increases due to age every 5 to 10 years (age group rate),0.15,0.15,0.15,0.15,0.15,0.16,0.16,0.16,0.11,0,0,0
P582,Allianz,DentalBest (DB02),https://zusatzversicherung.check24.de/filestore/tariff_terms/71c68f8a33232af95b13c88fdc45856c/Versicherungsbedingungen__DentalBest_(DB02).pdf?v=1533956901,90%,90%,90%,90%,90%,120 �� per insurance year,w/o waiting,Contribution increases due to age every 5 to 10 years (age group rate),0.15,0.15,0.15,0.15,0.15,0.16,0.09,0.16,0.12,0.16,0.22,0.19
P423,Gothaer,MediProphy+MediZ Premium,https://zusatzversicherung.check24.de/filestore/tariff_terms/44771379612fcf52f026250fa2986866/Versicherungsbedingungen__MediProphy+MediZ_Premium.pdf?v=1533958062,85-90%,85-90%,85-90%,85-90%,85-90%,100 �� per calendar year,w/o waiting,Contribution increases due to age every 5 to 10 years (age group rate),0.15,0.15,0.14,0.15,0.15,0.16,0.13,0.16,0.1,0.16,0,0.21
P563,DKV,KDT85+KDBE,https://zusatzversicherung.check24.de/filestore/tariff_terms/61c8d47052dd108720b583f44eb96dde/Versicherungsbedingungen__KDT85+KDBE.pdf?v=1533958093,85%,85%,85%,85%,not included,150 �� per calendar year (2 x 75 ��);?at DKV cooperation doctors �� 200 per calendar year (2 x �� 100),w/o waiting,Contribution increases due to age every 5 to 10 years (age group rate),0.14,0.14,0.14,0.15,0.13,0.16,0.16,0.16,0.14,0.16,0,0.21
P059,Hallesche,GIGA.Dent - dentZE.100+dentZB.100+dentPRO.80,https://zusatzversicherung.check24.de/filestore/tariff_terms/da78b972568975eec298491bb2c2bf88/Versicherungsbedingungen__GIGA.Dent_-_dentZE.100+dentZB.100+dentPRO.80.pdf?v=1533958879,90-100%,90-100%,90-100%,90-100%,90-100%,160 �� per calendar year (2 x 80 ��) for all prophylactic measures,w/o waiting,Contribution increases due to age every 5 to 10 years (age group rate),0.16,0.16,0.16,0.16,0.15,0.16,0.16,0.16,0.15,0.16,0.25,0.21
P979,MAXCARE,ZahnSchutz Exklusiv 100,https://zusatzversicherung.check24.de/filestore/tariff_terms/8c43fa45fad71abab6b55e77e70b049d/Versicherungsbedingungen__ZahnSchutz_Exklusiv_100.pdf?v=1533958896,100%,100%,100%,100%,100%,200 �� per calendar year for all prophylactic measures,w/o waiting,Contribution increases due to age every 5 to 10 years (age group rate),0.17,0.17,0.16,0.17,0.15,0.16,0.16,0.16,0.19,0.16,0.25,0.21
P972,DFV Deutsche Familienversicherung AG,ZahnSchutz Exklusiv 100,https://zusatzversicherung.check24.de/filestore/tariff_terms/b3cfe026e67dbd5714f46fe7e1634db4/Versicherungsbedingungen__ZahnSchutz_Exklusiv_100.pdf?v=1533959569,100%,100%,100%,100%,100%,200 �� per calendar year for all prophylactic measures,w/o waiting,Contribution increases due to age every 5 to 10 years (age group rate),0.17,0.17,0.16,0.17,0.15,0.16,0.16,0.16,0.19,0.16,0.25,0.21
P648,wgv,OPTIMAL,https://zusatzversicherung.check24.de/filestore/tariff_terms/88afca2d65a160f0b341f65e0ecabd37/Versicherungsbedingungen__OPTIMAL.pdf?v=1533960026,90%,90%,90% (Max.?500 �� per calendar year),90%,not included,�� 100 per insurance year for all prophylactic measures,8 months,Contribution increases due to age every 5 to 10 years (age group rate),0.15,0.15,0.15,0.15,0.15,0.16,0.16,0.16,0.1,0,0,0
P374,Continentale,CEZP-U,https://zusatzversicherung.check24.de/filestore/tariff_terms/fc2ceb956406aedd6b40cf5b0c9e7a78/Versicherungsbedingungen__CEZP-U.pdf?v=1533961115,80-90%,80-90%?(max 12 implants),80-90%,80-90%,80-90%,�� 80 per calendar year for all prophylactic measures,3 months,Contribution remains stable (aging provision rate). This tariff forms aging provisions.?There are no age-related increases.,0.14,0.14,0.14,0.15,0.15,0,0.16,0,0.08,0.1,0,0
P287,Concordia,ZT + ZB,https://zusatzversicherung.check24.de/filestore/tariff_terms/3ec8ba3c5606997e1465dfb983fe0345/Versicherungsbedingungen__ZT_+_ZB.pdf?v=1533961130,80-85%,80-85%,80-80%,80-85%,80-85%,150 �� in two calendar years for all prophylactic measures,8 months,Contribution increases due to age every 5 to 10 years (age group rate),0.14,0.14,0.13,0.14,0.15,0.16,0.16,0.16,0.14,0,0.2,0.17
P655,W?rttembergische,DUOSchutz D2 - ZE70+ZBE,https://zusatzversicherung.check24.de/filestore/tariff_terms/34926f4e3de3a31a7fe9195ab44cd17c/Versicherungsbedingungen__DUOSchutz_D2_-_ZE70+ZBE.pdf?v=1533961958,70%,70%,70%,70%,70%,300 �� in two calendar years for all prophylactic measures,w/o waiting,Contribution increases due to age every 5 to 10 years (age group rate),0.12,0.12,0.11,0.12,0.15,0.16,0.16,0.16,0.29,0.16,0.25,0.21
P632,Janitos,Dental Max,https://zusatzversicherung.check24.de/filestore/tariff_terms/d8dadc14e96f59436ecdca6c3aa7ddac/Versicherungsbedingungen__Dental_Max.pdf?v=1533961973,85-90%,85-90%,85-90%,85-90%,85-90%,�� 150 per insurance year for all prophylactic measures,w/o waiting,Contribution increases slightly due to age each year (risk contribution),0.15,0.15,0.14,0.15,0.15,0.16,0.16,0.16,0.14,0.16,0.25,0.17
P691,R+V,ZahnComfort (Z2U) + ZahnVorsorge (ZV),https://zusatzversicherung.check24.de/filestore/tariff_terms/caf896e3155bf3365abd35de0b7bc923/Versicherungsbedingungen__ZahnComfort_(Z2U)_+_ZahnVorsorge_(ZV).pdf?v=1533966903,70%,70%,70%,70%,70%,One treatment per calendar year,w/o waiting,Contribution remains stable (aging provision rate). This tariff forms aging provisions.?There are no age-related increases.,0.12,0.12,0.11,0.12,0.15,0,0.16,0,0.12,0.16,0,0.14
P993,M?nchener Verein,Vollschutz 75 - T570+T572+T573+T574,https://zusatzversicherung.check24.de/filestore/tariff_terms/575c6d85a0ef263d430f3697acf5abc3/Versicherungsbedingungen__Vollschutz_75_-_T570+T572+T573+T574.pdf?v=1533966916,75%,75%,100%,75%,75%,170 �� per calendar year for all prophylactic measures,w/o waiting,Contribution increases due to age every 5 to 10 years (age group rate),0.13,0.13,0.16,0.13,0.15,0.16,0.16,0.16,0.16,0.16,0,0.11
P875,BavariaDirekt,ZahnPRIVAT Premium,https://zusatzversicherung.check24.de/filestore/tariff_terms/5097977fcda698b0a0fdea8b4363093b/Versicherungsbedingungen__ZahnPRIVAT_Premium.pdf?v=1533967528,90-92%,90-92%,90-92%,90-92%,90-92%,"�� 108 per calendar year, 90% per treatment",w/o waiting,Contribution increases due to age every 5 to 10 years (age group rate),0.15,0.15,0.15,0.16,0.14,0.14,0.14,0.14,0.1,0.16,0.22,0.19
P516,AXA,DENT Premium U,https://zusatzversicherung.check24.de/filestore/tariff_terms/77bae438a6ecd3edd4c2b8e3724b9516/Versicherungsbedingungen__DENT_Premium_U.pdf?v=1533967541,85-90%,85-90%,85-90%,85-90%,85-90%,120 �� per calendar year for all prophylactic measures,6 months,Contribution increases due to age every 5 to 10 years (age group rate),0.15,0.15,0.14,0.15,0.15,0.16,0.16,0.16,0.12,0.04,0.22,0.19
P259,Mecklenburgische,ProME Zahnplus + ProMEZZ90,https://zusatzversicherung.check24.de/filestore/tariff_terms/32a20ea5613c4785e516bd2a1317e58c/Versicherungsbedingungen__ProME_Zahnplus_+_ProMEZZ90.pdf?v=1533968205,90-92%,90-92%,90-92% (Max.?450 �� per inlay;?Max.?two inlays per insurance year),90-92%,90-92%,�� 100 per insurance year for all prophylactic measures,3 months,Contribution increases slightly due to age each year (risk contribution),0.15,0.15,0.15,0.16,0.15,0.16,0.16,0.16,0.1,0.1,0,0.21
P576,Advigon Versicherung AG,zahngesundheit spezial (AZB2) + zahnersatz ideal (AZE4),https://zusatzversicherung.check24.de/filestore/tariff_terms/0368e5abe830971e5c935a187c5130d0/Versicherungsbedingungen__zahngesundheit__spezial_(AZB2)_+_zahnersatz_ideal_(AZE4).pdf?v=1533968228,80-90%,80-90%,80-90%,80-90%,80-90%,"200 �� per calendar year, 80 �� per treatment",w/o waiting,Contribution increases slightly due to age each year (risk contribution),0.14,0.14,0.14,0.15,0.15,0.16,0,0.16,0.19,0.16,0,0
P790,M?nchener Verein,Vollschutz 90 - T571+T572+T573+T574,https://zusatzversicherung.check24.de/filestore/tariff_terms/4f93f1336b14d92dbd44df18f71cc519/Versicherungsbedingungen__Vollschutz_90_-_T571+T572+T573+T574.pdf?v=1533996136,90%,90%,100%,90%,90%,170 �� per calendar year for all prophylactic measures,w/o waiting,Contribution increases due to age every 5 to 10 years (age group rate),0.15,0.15,0.16,0.15,0.15,0.16,0.16,0.16,0.16,0.16,0,0.11
P805,HanseMerkur,EZL,https://zusatzversicherung.check24.de/filestore/tariff_terms/5ae014364b097b14528de2a8b900c370/Versicherungsbedingungen__EZL.pdf?v=1533996155,100%,100%?(max 10 implants),100%,100%,100%,"�� 130 per calendar year, �� 65 per treatment",w/o waiting,Contribution increases due to age every 5 to 10 years (age group rate),0.17,0.17,0.16,0.17,0.15,0.16,0,0.16,0.12,0.16,0,0
P830,DKV,KDTP100+KDBS,https://zusatzversicherung.check24.de/filestore/tariff_terms/d5606207f0b879ad31be272316bd9295/Versicherungsbedingungen__KDTP100+KDBS.pdf?v=1533996928,100%,100%,100%,100%,100%,70 �� per calendar year,w/o waiting,Contribution increases due to age every 5 to 10 years (age group rate),0.17,0.17,0.16,0.17,0.15,0.12,0.12,0.12,0.07,0.16,0,0
P038,Allianz,ZahnBest (ZB02) + ZahnFit (ZF02),https://zusatzversicherung.check24.de/filestore/tariff_terms/55c216c5093c0d14fd3da576db298a4a/Versicherungsbedingungen__ZahnBest_(ZB02)_+_ZahnFit_(ZF02).pdf?v=1533996943,90%,90%,90%,90%,90%,60 �� per insurance year,w/o waiting,Contribution remains stable (aging provision rate). This tariff forms aging provisions.?There are no age-related increases.,0.15,0.15,0.15,0.15,0.15,0.16,0.16,0.16,0.06,0.16,0.22,0.19
